feature,gain,split,gain_pct
address_tfidf_similarity,648663.8734939098,560,43.014106723338145
retrieval_channel_count,180355.14858031273,37,11.959685017374282
relative_address_tfidf_rank,115175.57673203945,318,7.63750649899648
fusion_score,112811.20159769058,493,7.4807203906302275
address_token_jaccard,82949.84676325321,872,5.500558466653405
name_character_similarity,80444.21361327171,1241,5.334405276801296
name_token_jaccard,48587.67370927334,916,3.2219389236404523
address_length_ratio,32358.944410681725,788,2.1457817295087858
numeric_token_conflict,29160.159177660942,232,1.933664337095555
numeric_token_overlap,28878.2137247324,401,1.9149680102335316
name_prefix_ratio,27863.09688913822,717,1.8476537266929436
relative_name_similarity_rank,11174.759056091309,489,0.7410190366502875
name_length_ratio,9540.663175046444,954,0.6326591024908109
name_token_count_difference,8482.154665827751,517,0.5624674364468072
fusion_rank,7617.19791841507,267,0.5051105473635895
relative_fusion_score_rank,7047.580518722534,177,0.4673381591930078
name_tfidf_similarity,6056.022000670433,513,0.40158607146196734
relative_tfidf_similarity_rank,6016.400226950645,351,0.39895867802602486
address_shared_token_count,5948.025375247002,408,0.3944246145633391
relative_address_similarity_rank,5483.31477701664,440,0.36360879132336216
fusion_score_gap_to_best,4898.855227231979,648,0.3248521926022102
address_route_count,4769.467393398285,88,0.3162722449272356
name_suffix_ratio,4698.553098320961,429,0.31156978625594206
address_tfidf_gap_to_best,3981.002582550049,597,0.26398767828604885
legacy_blocking_channel_count,3775.438233733177,24,0.2503563243601771
address_preblock_pool_size,3240.901123046875,481,0.21491017533572196
address_missing_right,2402.970489382744,27,0.1593454380719599
source_is_s2,2309.7428431510925,134,0.15316333962554238
top_address_similarity_margin,2099.8682076931,442,0.13924616258362327
close_name_competitor_count,2058.032700061798,294,0.13647197233870476
name_tfidf_rank,1922.70547580719,212,0.12749817264903315
cheap_score_margin_to_next,1817.958720445633,174,0.12055222067273937
top_name_similarity_margin,1768.0894362926483,368,0.11724529577923658
name_shared_token_count,1575.2697497606277,201,0.10445906409012616
block_rare_name_token,1562.9505562782288,69,0.10364215548021213
top_tfidf_similarity_margin,1488.5935542583466,257,0.09871140451471888
legacy_rank,1038.8230831623077,195,0.0688862888650299
address_tfidf_rank,1029.0802652835846,119,0.06824022450851787
legacy_cheap_score,993.2301485538483,122,0.06586293665564119
numeric_token_equal,947.6443183422089,30,0.06284005555200618
candidate_count_for_s1,937.3192628622055,189,0.06215538193830689
cheap_rank,828.829226732254,62,0.05496120605893081
blocking_channel_count,544.0620144605637,33,0.03607776309179757
source_is_s3,533.4731395244598,42,0.035375595119765554
rare_name_token_hits,353.5144958496094,25,0.02344220307941189
name_core_exact,254.65743923187256,20,0.016886807970375752
block_rare_address_token,234.78506779670715,17,0.015569034095974765
address_route_rare_token,219.91870856285095,25,0.014583218192233707
rare_address_token_hits,198.6285002231598,44,0.013171424918233567
address_route_numeric,157.11712050437927,27,0.010418728197451252
block_name_tfidf,156.98465847969055,11,0.010409944394468577
cheap_score,140.96308827400208,16,0.00934752430470631
is_tfidf_only,126.72344040870667,15,0.008403266796296877
address_route_postcode,104.30785000324249,21,0.006916847346460932
name_sorted_exact,98.22192907333374,13,0.00651327862144645
supported_by_both,49.83683109283447,3,0.0033047728707837243
is_legacy_only,27.5251202583313,6,0.0018252418683151704
is_address_tfidf_only,24.436800003051758,1,0.0016204496138291678
address_route_country_fallback,23.77037000656128,6,0.0015762574024789783
address_exact,10.35682988166809,2,0.0006867806333131815
name_full_exact,7.23252010345459,2,0.00047960184668987155
has_address_tfidf,0.0,0,0.0
block_address_tfidf,0.0,0,0.0
block_exact_full_name,0.0,0,0.0
block_exact_address,0.0,0,0.0
block_exact_core_name,0.0,0,0.0
block_exact_sorted_name,0.0,0,0.0
block_cross_country_exact_name,0.0,0,0.0
both_country_present,0.0,0,0.0
country_missing_left,0.0,0,0.0
country_missing_right,0.0,0,0.0
same_country,0.0,0,0.0
country_conflict,0.0,0,0.0
address_missing_left,0.0,0,0.0
address_route_postcode_prefix,0.0,0,0.0
